Lemma_Sense_Id;Translation_Lemma;Translation_Sense;Translation_Gram_Info;Translation_Lex_Info
2982;ostatn¡;chybØj¡c¡ Ÿ st celku;pý¡d;null
2983;pýesvØdŸivØ h jit;;4p;null
2983;pýesvØdŸit ostatn¡ o sv‚ pravdØ;;;null
2984;pý¡Ÿina;;§;null
2984;d…vod;;m;null
2985;d…vod;;m;null
2985;motiv;pr vnicky;m;null
2986;d…vod;vysvØtlen¡;m;null
2986;motiv;;m;null
2987;pý¡Ÿina;;§;null
2987;d…vod;;m;null
2988;z klad, d…vod;d…vod;m;null
2989;proti;;pý¡sl;null
2989;d…vod proti;;m+pý¡sl;null
2989;n mitka;;§;null
2990;skrytì motiv, skrytì d…vod;;pý¡d+m;null
2990;skryt‚ pohnutky;;pý¡d+§ mn;null
2990;motiv, d…vod;;m;null
2990;pohnutky;;§ mn;null
2991;c¡l, d…vod;;m;null
2992;nØkdo;;z jm;null
2992;kdosi;expresivnØji;z jm;null
2993;nØkdo;kdokoli;z jm;null
2994;nØkdo;jeden ŸlovØk;z jm;null
2995;nØkdo;vìznamn  osoba;z jm;null
2996;nØkdo;v ot zce;z jm;null
2996;nikdo;v z poru;z jm;null
2996;kdokoli, kdokoliv;v oznamovac¡ vØtØ;z jm;null
2997;pan nØkdo;;m+s;null
2998;dlouhì;znaŸn  d‚lka;pý¡d;null
2999;dlouhì;d‚lka;pý¡sl;null
3000;dlouhì;;pý¡sl;null
3001;dlouhì;;pý¡d;null
3002;dlouhì;Ÿl nek: nepý¡jemnØ;pý¡d;null
3003;rozs hlì, dlouhì;;pý¡d;null
3004;dlouhì, zdlouhavì;projev: nepý¡jemnØ;pý¡d;null
3005;dlouhì krok;;pý¡d+m;null
3006;dlouhì nos;gesto;pý¡d+m;null
3007;dlouhì dolet;;;null
3008;divadlo;budova;m;null
3009;divadlo, divadelnictv¡;obor;s;null
3010;nØmecky;;pý¡sl;null
3010;nØmŸina;;n noun: Refers to person, place, thing, quality, etc.;null
3011;sic;upozornØn¡ na paradoxn¡ text;zvol;null
3012;nikdy;;pý¡sl;null
3012;v §ivotØ;hovorovØ v z poru;pýedl+m;null
3013;nikdy;;;null
3014;nikdy;;;null
3015;opravdu nikdy;;pý¡sl+pý¡sl;null
3016;teÔ nebo nikdy;£spØch nebo krach;;null
3017;u§ nikdy;;;null
3018;teÔ nebo nikdy;;;null
3019;chv¡le;;§;null
3019;chvilka;;§ zdrob;null
3020;sekunda, vteýina;okam§ik;§;null
3020;vteýinka, chvilka, chviliŸka;;§ zdrob;null
3020;chv¡le;;§;null
3020;okam§ik, moment;;m;null
3021;chv¡le;;m;null
3021;moment, okam§ik;;m;null
3022;chv¡le;;§;null
3022;okam§ik, moment;;m;null
3023;chv¡le;;§;null
3024;minutka;moment;§ zdrob;null
3024;chv¡le;;§;null
3024;chvilka, chvilinka, chviliŸka;;§ zdrob;null
3024;okam§ik, moment;;m;null
3025;nuda;;§;null
3025;dlouh  chv¡le;;pý¡d+§;null
3026;çpatn  doba, çpatn  chv¡le;;;null
3027;z…stat;setrvat;dok;null
3027;z…st vat;;ned;null
3028;z…stat;Ÿekat;dok;null
3029;z…stat;na urŸitou dobu;dok;null
3030;z…stat;ve funkci, v pr ci apod.;;null
3031;z…stat, pýetrvat;d l existovat;dok;null
3031;z…st vat, pýetrv vat;;ned;null
3032;z…stat, setrvat;;dok;null
3032;z…st vat, setrv vat;;ned;null
3033;z…stat, zbìt;;dok;null
3033;z…st vat, zbìvat;;ned;null
3034;z…stat, zastavit se;;dok;null
3035;z…st vat, setrv vat, vytrv vat;;ned;null
3035;z…stat, setrvat, vytrvat;;dok;null
3036;setrv vat, z…st vat;;ned;null
3036;setrvat, z…stat;;dok;null
3037;z…stat trŸet;;;null
3038;uv¡znout;;;null
3038;z…stat trŸet;;;null
3039;bìt bl¡zko;;;null
3039;z…stat bl¡zko;;;null
3040;bìt bl¡zko;;2p;null
3040;z…stat bl¡zko;;2p;null
3041;z…stat klidnì;;;null
3042;z…stat ve formØ;;;null
3043;z…stat Ÿerstvì;ovoce;;null
3044;z…stat na sv‚ pozici;nezmØnit n zor;;null
3045;po§adavek;;m;null
3045;podm¡nka;;§;null
3046;podm¡neŸn‚ propuçtØn¡, podm¡nØn‚ propuçtØn¡;;pý¡d+s;null
3046;propuçtØn¡ na podm¡nku;;s+pýedl+§;null
3046;podm¡nka;hovorovØ;§;null
3047;podm¡nka;trest;§;null
3047;podm¡neŸnì trest;;pý¡d+m;null
3048;podm¡nky;;§ pl;null
3048;smluvn¡ podm¡nka;;pý¡d + § pl;null
3049;pýevrat;n silnì;m;null
3049;soci ln¡ otýes;n silnì;pý¡d+m;null
3050;£stav soci ln¡ p‚Ÿe;;;null
3051;soci ln¡ pojiçtØn¡;;;null
3052;stav;;m;null
3053;stav;;m;null
3054;stav;;m;null
3055;stav;;m;null
3056;stav;;m;null
3056;kondice, forma;fyzick‚ zdrav¡;§;null
3057;poŸet obyvatel;;m+m;null
3057;obyvatelstvo;;s;null
3057;populace;;§;null
3057;stav;zvØýe;m;null
3058;sk¢re;utk n¡;s;null
3058;stav;;m;null
3059;stav;tkalcovskì;m;null
3060;zdrav¡;;s;null
3060;zdravotn¡ stav;;pý¡d+m;null
3061;havarijn¡ stav;;pý¡d+m;null
3062;soudn¡ moc;soudcov‚;pý¡d+§;null
3062;soudcovskì stav;;pý¡d+m;null
3063;hypnotickì stav;;;null
3064;rodinnì stav;;;null
3065;naj¡t;;4p dok;null
3066;diagnostifikovat;;4p dok;null
3066;naj¡t;hovorovØ: nemoc;4p dok;null
3067;narazit na;;;null
3067;naj¡t;n hodou;;null
3068;narazit na;;;null
3068;naj¡t;n hodou;;null
3069;naj¡t;;4p;null
3070;naj¡t;po dlouh‚m £sil¡;4p;null
3071;d t dohromady;;4p dok+pý¡sl;null
3071;naj¡t dvojice;;dok+§ mn;null
3071;sp rovat;;4p dok;null
3071;d t k sobØ;;4p dok+pýedl+z jm;null
3072;objevit, naj¡t;;4p dok;null
3072;objevovat, nach zet;;4p ned;null
3073;naj¡t, narazit na;;4p dok;null
3074;naj¡t, vyp trat;;4p dok;null
3074;zjistit polohu, urŸit polohu;;2p dok+§;null
3075;naj¡t cestu;;dok+§;null
3076;naj¡t si Ÿas na;;4p;null
3076;vyçetýit si Ÿas na;;4p;null
3077;pochopit, naj¡t, identifikovat, zjistit;;4p;null
3078;naj¡t si Ÿas na;plnì term¡novì kalend ý;4p;null
3079;naj¡t rovnov hu mezi;;7p;null
3080;narazit na;;4p;null
3080;n hodou naj¡t;;4p;null
3081;jeçtØ;s 2. stupnØm;pý¡sl;null
3081;dokonce jeçtØ;;pý¡sl+pý¡sl;null
3082;vztah;;m;null
3083;vztah;;m;null
3083;£zkì vztah;;pý¡d+m;null
3083;n klonnost;;§;null
3084;spojitost;;§;null
3084;spojen¡;;s;null
3084;vztah;;m;null
3085;vztah;mezi lidmi;m;null
3085;konexe, zn mosti;;§ mn;null
3086;spojitost;;§;null
3086;vztah, pomØr;;m;null
3086;nØco spoleŸn‚ho;;z jm+pý¡d;null
3087;vztah, pomØr;rodina;m;null
3087;rodinnì vztah, rodinnì pomØr;;pý¡d+m;null
3088;vztah, pomØr;milenci;m;null
3089;vztah, pomØr;;m;null
3089;souvislost, spojitost;;§;null
3090;rom nek;mezi lidmi;m zdrob;null
3090;milostnì vztah;mezi lidmi;pý¡d+m;null
3091;d…vØrnì vztah;;pý¡d+§;null
3092;hra;divadeln¡;§;null
3093;hra;pro z bavu;§;null
3094;divadeln¡ hra;;pý¡d+§;null
3094;drama;nap¡nav  hra;s;null
3095;hra na housle;nekvalitn¡;§+pýedl+s;null
3095;fidl n¡;;s;null
3096;deskov  hra, stoln¡ hra;;;null
3097;dovednostn¡ hra, znalostn¡ hra;;;null
3098;hra na schov vanou;;;null
3098;schovka;hovorovØ;;null
3099;hra, ve kter‚ prohr v me;;;null
3100;hra s ohnØm;;;null
3101;hra na koŸku a myç;;;null
3102;dØlat;;4p ned;null
3102;udØlat;;4p dok;null
3103;slo§it, absolvovat;zkouçku;4p dok;null
3103;udØlat;zkouçku;4p dok;null
3103;obst t pýi;;6p dok;null
3104;udØlat;rychle;4p;null
3105;dØlat, prov dØt, vykon vat;;4p ned;null
3105;udØlat, prov‚st, vykonat;;4p dok;null
3106;vyr bØt, produkovat, dØlat;;4p ned;null
3106;vyrobit, vyprodukovat, udØlat;;4p dok;null
3107;udØlat, uŸinit;rozhodnut¡;4p dok;null
3107;rozhodnout se;;4p dok;null
3108;udØlat radost;;3p dok;null
3108;potØçit;;4p dok;null
3109;vytvoýit;;4p dok;null
3109;tvoýit, vytv ýet;;4p ned;null
3109;udØlat, vyrobit;;4p dok;null
3109;dØlat, vyr bØt;;4p ned;null
3110;udØlat, vyrobit;;dok;null
3110;dØlat, vyr bØt;;ned;null
3110;udØlanì, vyrobenì;;pý¡d;null
3111;udØlat, pýipravit, pýichystat, nachystat;j¡dlo;4p dok;null
3112;udØlat rozhovor s;;7p dok+m;null
3112;zpov¡dat;novin ý;4p dok;null
3113;udØlat posunek;;dok+m;null
3113;posunkem d t najevo;;m+dok+pý¡sl;null
3114;dØlat reklamu;;ned+§;null
3114;udØlat reklamu;;dok+§;null
3115;zpuchìýovatØt;poko§ka, pýedmØt;dok;null
3115;udØlat si puchìýe;ŸlovØk;dok+m mn;null
3116;udØlat chybu, udØlat hrubku;;dok+§;null
3116;dØlat chybu, dØlat hrubku;;ned+§;null
3116;zmìlit se, chybit;;dok;null
3116;mìlit se, chybovat;;ned;null
3117;udØlat ostudu;;3p dok;null
3118;udØlat teŸku;nad i;dok+§;null
3119;okop¡rovat;;4p dok;null
3119;udØlat kopii;;dok+§;null
3120;udØlat salto;;dok+s;null
