Lemma_Sense_Id;Example_Sentence_From;Example_Sentence_To
2982;The others will arrive in a few minutes.;Ostatní dorazí za pár minut.
2984;A spark was the cause of the explosion.;Příčinou výbuchu byla jiskra.
2985;Fear was the cause for his screaming.;null
2986;What is your reason for missing school yesterday?;Z jakého důvodu jsi včera chyběl ve škole?
2992;Someone ate the last piece of cake, but I don't know who it was.;Někdo snědl poslední kousek dortu, ale nevím, kdo to byl.
2998;Yes, it is a long table.;Ano, ten stůj je dlouhý.
2999;The table is three metres long.;Ten stůl je tři metry dlouhý.
3000;No, I don't want any of those short carrots - I want the long one.;Ne, nechci ty krátké mrkve, chci tu dlouhou.
3010;Do you speak German?;Umíš německy?
3012;I have never been to China.;V životě bych tě neopustil.
3015;I have never, ever, been to Paris.;V Paříži jsem nikdy, opravdu nikdy nebyl.
3019;A while passed before she finally came.;Uběhla chvíle, než konečně dorazila.
3020;He only looked away for a second.;Koukal se stranou je vteřinu ( or: vteřinku, or: chvilku).
3021;Where were you at the moment that you heard that Kennedy had been shot?;Kde jsi byl ve chvíli, kdy jsi slyšel, že Kennedy byl postřelen?
3022;I was only in there for a moment, leaving the shop a few seconds after going in.;Byl jsem v tom obchodě jenom chvíli, odešel jsem po pár sekundách.
3023;I'll be there in a bit.;Za chvíli tam budu. Hned tam budu.
3024;I was only gone for a minute!;Byl jsem pryč jen na minutku ( or: okamžik, or: chvilku).
3027;I'd like you to stay.;Chtěla bych, abys zůstal.
3028;Stay here and don't move.;Zůstaň tady a nehýbej se.
3029;I asked her to stay the night.;Požádal jsem ji, aby zůstala přes noc.
3031;The account remains in existence.;null
3032;He went out, while she remained at home.;On odešel, ale ona zůstala ( or: setrvávala) doma.
3033;Three slices of pizza remain.;Zůstaly ( or: zbývají) tři plátky pizzy.
3034;Instead of rolling into the water, the golf ball stayed on the grass.;Golfový míček zůstal na trávě a neodkutálel se do vody.
3035;I'm sticking to my original idea.;Zůstanu ( or: setrvám) u své původní myšlenky.
3045;A license is a requirement for driving.;Mít řidičský průkaz je podmínkou pro řízení.
3048;It all depends on the terms of the contract. Is there a warranty?;Všechno záleží na podmínkách smlouvy. Nabízíte záruku?
3052;We are worried about the state of affairs.;Jsme znepokojeni současným stavem věcí.
3053;That house we saw was in bad shape. It needs a lot of repair.;Ten dům, který jsme viděli, byl ve špatném stavu. Bude třeba hodně oprav.
3054;"The agent described the status of the house as ""in need of modernisation"".";"Agent realitky shrnul stav domu slovy ""rekonstrukce nutná""."
3055;This house is in terrible condition. It needs a lot of work.;Ten dům je v hrozném stavu. Bude na něm hodně práce.
3056;The cancer patient is in stable condition.;Stav toho pacienta s rakovinou je stabilizovaný.
3057;The population of New York is 8 million.;Populace New Yorku čítá osm milionů.
3058;The basketball score was forty to thirty-eight at halftime.;V poločase bylo skóre utkání v košíkové čtyřicet ke třiceti osmi.
3060;The doctor said that he is in good health.;Doktor říkal, že se těší dobrému zdraví.
3065;I found ten dollars in the street yesterday.;Včera jsem našel na ulici deset dolarů.
3071;In this game, you need to match each card with another card with the same design.;V této hře je cílem najít dvojice kartiček se stejným obrázkem.
3072;The boys discovered treasure on the island.;Chlapci našli na ostrově poklad.
3073;They encountered three dead bodies in the old house.;V tom starém domě našli tři mrtvoly.
3081;I feel even worse than I look.;Cítím se ještě hůře, než vypadám.
3086;Do you have any relationship with the company that you are recommending to us?;Máš nějaký vztah ( or: poměr) k té společnosti, kterou mi doporučuješ?
3087;What is her relationship to you? Is she a cousin?;V jakém jsi k ní vztahu? Je tvoje sestřenice?
3088;We have been in a relationship for three years and we plan to get married.;Máme spolu poměr ( or: vztah) už tři roky a chceme se vzít.
3092;I'd like to see a play for my birthday.;Na své narozeniny bych si rád zašel na nějakou hru.
3093;We play various games after school.;Po škole hrajeme různé hry.
3094;The drama was performed at the school by student actors.;V divadelní hře na škole hráli studentští herci.
3102;The children made houses with blocks.;Děti dělaly domy z kostek.
3103;She passed her driving test on her first attempt.;Udělala řidičák na první pokus.
3105;Just do your job.;Zkrátka jen dělej svou práci.
3106;That factory makes bolts.;Ta továrna vyrábí šrouby.
3107;Tess must make a decision.;Tess se musí rozhodnout.
3108;My darling, I just want to please you.;Miláčku, chci ti jen udělat radost.
3109;He formed a ladder out of bits of old wood.;Vytvořil ( or: vyrobil) žebřík z kousků starého dřeva.
3110;He made a cake yesterday.;Včera udělal ( or: dělal) dort.
