Lemma_Sense_Id;Translation_Lemma;Translation_Sense;Translation_Gram_Info;Translation_Lex_Info
2982;ostatní;chybějící část celku;příd;null
2983;přesvědčivě hájit;;4p;null
2983;přesvědčit ostatní o své pravdě;;;null
2984;příčina;;ž;null
2984;důvod;;m;null
2985;důvod;;m;null
2985;motiv;právnicky;m;null
2986;důvod;vysvětlení;m;null
2986;motiv;;m;null
2987;příčina;;ž;null
2987;důvod;;m;null
2988;základ, důvod;důvod;m;null
2989;proti;;přísl;null
2989;důvod proti;;m+přísl;null
2989;námitka;;ž;null
2990;skrytý motiv, skrytý důvod;;příd+m;null
2990;skryté pohnutky;;příd+ž mn;null
2990;motiv, důvod;;m;null
2990;pohnutky;;ž mn;null
2991;cíl, důvod;;m;null
2992;někdo;;zájm;null
2992;kdosi;expresivněji;zájm;null
2993;někdo;kdokoli;zájm;null
2994;někdo;jeden člověk;zájm;null
2995;někdo;významná osoba;zájm;null
2996;někdo;v otázce;zájm;null
2996;nikdo;v záporu;zájm;null
2996;kdokoli, kdokoliv;v oznamovací větě;zájm;null
2997;pan někdo;;m+s;null
2998;dlouhý;značná délka;příd;null
2999;dlouhý;délka;přísl;null
3000;dlouhý;;přísl;null
3001;dlouhý;;příd;null
3002;dlouhý;článek: nepříjemně;příd;null
3003;rozsáhlý, dlouhý;;příd;null
3004;dlouhý, zdlouhavý;projev: nepříjemně;příd;null
3005;dlouhý krok;;příd+m;null
3006;dlouhý nos;gesto;příd+m;null
3007;dlouhý dolet;;;null
3008;divadlo;budova;m;null
3009;divadlo, divadelnictví;obor;s;null
3010;německy;;přísl;null
3010;němčina;;n noun: Refers to person, place, thing, quality, etc.;null
3011;sic;upozornění na paradoxní text;zvol;null
3012;nikdy;;přísl;null
3012;v životě;hovorově v záporu;předl+m;null
3013;nikdy;;;null
3014;nikdy;;;null
3015;opravdu nikdy;;přísl+přísl;null
3016;teď nebo nikdy;úspěch nebo krach;;null
3017;už nikdy;;;null
3018;teď nebo nikdy;;;null
3019;chvíle;;ž;null
3019;chvilka;;ž zdrob;null
3020;sekunda, vteřina;okamžik;ž;null
3020;vteřinka, chvilka, chvilička;;ž zdrob;null
3020;chvíle;;ž;null
3020;okamžik, moment;;m;null
3021;chvíle;;m;null
3021;moment, okamžik;;m;null
3022;chvíle;;ž;null
3022;okamžik, moment;;m;null
3023;chvíle;;ž;null
3024;minutka;moment;ž zdrob;null
3024;chvíle;;ž;null
3024;chvilka, chvilinka, chvilička;;ž zdrob;null
3024;okamžik, moment;;m;null
3025;nuda;;ž;null
3025;dlouhá chvíle;;příd+ž;null
3026;špatná doba, špatná chvíle;;;null
3027;zůstat;setrvat;dok;null
3027;zůstávat;;ned;null
3028;zůstat;čekat;dok;null
3029;zůstat;na určitou dobu;dok;null
3030;zůstat;ve funkci, v práci apod.;;null
3031;zůstat, přetrvat;dál existovat;dok;null
3031;zůstávat, přetrvávat;;ned;null
3032;zůstat, setrvat;;dok;null
3032;zůstávat, setrvávat;;ned;null
3033;zůstat, zbýt;;dok;null
3033;zůstávat, zbývat;;ned;null
3034;zůstat, zastavit se;;dok;null
3035;zůstávat, setrvávat, vytrvávat;;ned;null
3035;zůstat, setrvat, vytrvat;;dok;null
3036;setrvávat, zůstávat;;ned;null
3036;setrvat, zůstat;;dok;null
3037;zůstat trčet;;;null
3038;uvíznout;;;null
3038;zůstat trčet;;;null
3039;být blízko;;;null
3039;zůstat blízko;;;null
3040;být blízko;;2p;null
3040;zůstat blízko;;2p;null
3041;zůstat klidný;;;null
3042;zůstat ve formě;;;null
3043;zůstat čerstvý;ovoce;;null
3044;zůstat na své pozici;nezměnit názor;;null
3045;požadavek;;m;null
3045;podmínka;;ž;null
3046;podmínečné propuštění, podmíněné propuštění;;příd+s;null
3046;propuštění na podmínku;;s+předl+ž;null
3046;podmínka;hovorově;ž;null
3047;podmínka;trest;ž;null
3047;podmínečný trest;;příd+m;null
3048;podmínky;;ž pl;null
3048;smluvní podmínka;;příd + ž pl;null
3049;převrat;násilný;m;null
3049;sociální otřes;násilný;příd+m;null
3050;ústav sociální péče;;;null
3051;sociální pojištění;;;null
3052;stav;;m;null
3053;stav;;m;null
3054;stav;;m;null
3055;stav;;m;null
3056;stav;;m;null
3056;kondice, forma;fyzické zdraví;ž;null
3057;počet obyvatel;;m+m;null
3057;obyvatelstvo;;s;null
3057;populace;;ž;null
3057;stav;zvěře;m;null
3058;skóre;utkání;s;null
3058;stav;;m;null
3059;stav;tkalcovský;m;null
3060;zdraví;;s;null
3060;zdravotní stav;;příd+m;null
3061;havarijní stav;;příd+m;null
3062;soudní moc;soudcové;příd+ž;null
3062;soudcovský stav;;příd+m;null
3063;hypnotický stav;;;null
3064;rodinný stav;;;null
3065;najít;;4p dok;null
3066;diagnostifikovat;;4p dok;null
3066;najít;hovorově: nemoc;4p dok;null
3067;narazit na;;;null
3067;najít;náhodou;;null
3068;narazit na;;;null
3068;najít;náhodou;;null
3069;najít;;4p;null
3070;najít;po dlouhém úsilí;4p;null
3071;dát dohromady;;4p dok+přísl;null
3071;najít dvojice;;dok+ž mn;null
3071;spárovat;;4p dok;null
3071;dát k sobě;;4p dok+předl+zájm;null
3072;objevit, najít;;4p dok;null
3072;objevovat, nacházet;;4p ned;null
3073;najít, narazit na;;4p dok;null
3074;najít, vypátrat;;4p dok;null
3074;zjistit polohu, určit polohu;;2p dok+ž;null
3075;najít cestu;;dok+ž;null
3076;najít si čas na;;4p;null
3076;vyšetřit si čas na;;4p;null
3077;pochopit, najít, identifikovat, zjistit;;4p;null
3078;najít si čas na;plný termínový kalendář;4p;null
3079;najít rovnováhu mezi;;7p;null
3080;narazit na;;4p;null
3080;náhodou najít;;4p;null
3081;ještě;s 2. stupněm;přísl;null
3081;dokonce ještě;;přísl+přísl;null
3082;vztah;;m;null
3083;vztah;;m;null
3083;úzký vztah;;příd+m;null
3083;náklonnost;;ž;null
3084;spojitost;;ž;null
3084;spojení;;s;null
3084;vztah;;m;null
3085;vztah;mezi lidmi;m;null
3085;konexe, známosti;;ž mn;null
3086;spojitost;;ž;null
3086;vztah, poměr;;m;null
3086;něco společného;;zájm+příd;null
3087;vztah, poměr;rodina;m;null
3087;rodinný vztah, rodinný poměr;;příd+m;null
3088;vztah, poměr;milenci;m;null
3089;vztah, poměr;;m;null
3089;souvislost, spojitost;;ž;null
3090;románek;mezi lidmi;m zdrob;null
3090;milostný vztah;mezi lidmi;příd+m;null
3091;důvěrný vztah;;příd+ž;null
3092;hra;divadelní;ž;null
3093;hra;pro zábavu;ž;null
3094;divadelní hra;;příd+ž;null
3094;drama;napínavá hra;s;null
3095;hra na housle;nekvalitní;ž+předl+s;null
3095;fidlání;;s;null
3096;desková hra, stolní hra;;;null
3097;dovednostní hra, znalostní hra;;;null
3098;hra na schovávanou;;;null
3098;schovka;hovorově;;null
3099;hra, ve které prohráváme;;;null
3100;hra s ohněm;;;null
3101;hra na kočku a myš;;;null
3102;dělat;;4p ned;null
3102;udělat;;4p dok;null
3103;složit, absolvovat;zkoušku;4p dok;null
3103;udělat;zkoušku;4p dok;null
3103;obstát při;;6p dok;null
3104;udělat;rychle;4p;null
3105;dělat, provádět, vykonávat;;4p ned;null
3105;udělat, provést, vykonat;;4p dok;null
